sort,year,siteid,lat,long,epareg,huc8,era,strorder,doc,no3,tn,tp,area,elev,forest,wetland,urban,ag,roads,pop,shrub,precip,k,mg,na,nh4,no2,sio2,so4,tss,turb,ph,cl,ca,anc,al,cond,ansum,catsum,co3,h,oh,dic,hco3,se,zn
1,2008,OWW04440-0595,39.01490805,-98.01046463,7,10260010,Year2008,2nd,3.05,0.81812,1316,63.7256,22.32040024,NA,NA,NA,NA,NA,NA,NA,NA,,4.571,14.18,62.93,0.02,0,19.129,260.24,24.7,6.6,8.24,41.92,153.9,4851.26,3.00E-04,1039.77,,,,,,,,,
2,2008,OWW04440-0163,37.3952849,-98.92627961,7,11060003,Year2008,3rd,1.02,1.96961,2219,67.6794,168.2460022,NA,NA,NA,NA,NA,NA,NA,NA,,2.939,8.135,21.38,0.012,0.00583,25.797,54.53,16.9,8.47,8.26,21.62,77.2,3670.51,0.0016,514.86,,,,,,,,,
3,2008,OWW04440-0115,38.19892655,-95.42768365,7,10290101,Year2008,2nd,8.27,0.04569,2024,387.3913,19.97649956,329.86,9.362,0.072,5.156,74.404,1.726,7.388,10.276,,5.971,6.525,5.867,0.367,0.00309,13.199,8.06,460.8,433,7.76,4.38,33.06,2345.26,3.00E-04,257.46,,,,,,,,,
4,2008,OWW04440-0291,37.47701976,-98.36534065,7,11060005,Year2008,3rd,2.22,3.36978,3963,138.0413,141.5140076,543.304,0.85,0.467,3.405,53.398,1.152,0.734,41.407,,2.205,6.796,17.99,0.035,0.01126,25.265,17.29,87,32.6,8.33,12.09,78.56,4288.89,3.00E-04,487.83,,,,,,,,,
5,2008,FW08KS012,37.78662431,-96.42997007,7,11070102,Year2008,4th,1.47,0.21067,362,36.69,101.5940018,428.278,2.47,0.037,2.496,6.461,0.477,0.45,87.417,,1.763,13.44,9.765,0.012,0,10.371,13.4,34.6,16.1,8.27,7.47,65.52,4426.84,3.00E-04,451,,,,,,,,,
6,2008,FW08KS036,37.99322599,-99.32134205,7,11030004,Year2008,7th,2.98,1.21562,1714,32.6069,71565,1725.93,13.471,1.124,2.816,12.811,0.755,12.389,68.517,,6.829,53.8,145.7,0.099,0,23.518,503.19,8.4,4.8,8.15,63.94,150.7,6188.57,3.00E-04,1638.79,,,,,,,,,
7,2008,FW08KS039,39.01570904,-95.84061299,7,10270102,Year2008,1st,2.02,0.05471,1184,342.0175,8.701910019,346.144,19.649,0.279,4.535,41.859,1.798,9.891,32.355,,2.306,16.29,12.97,0.045,0,13.383,48.17,586.8,305,7.91,8.8,86.53,5388.01,3.00E-04,583,,,,,,,,,
8,2008,FW08LA011,32.97480157,-92.07643968,6,8040202,Year2008,7th,4.06,0.05639,491,71.5725,28212.40039,119.437,64.231,12.805,5.362,7.231,1.361,13.614,8.653,,1.717,1.648,12.04,0.048,0.00386,4.65,13.45,8.5,12.4,7.25,9.17,6.909,476.74,0.0318,116.4,,,,,,,,,
9,2008,FW08DE002,38.54260151,-75.5231013,3,2060008,Year2008,4th,1.51,6.95317,7200,33.5163,129.6040039,14.094,21.172,23.934,3.969,43.749,1.424,22.434,6.836,,2.705,3.725,8.868,0.025,0.00956,18.607,4.82,1.9,4.14,7.14,11.21,9.893,345.11,0.0146,148.03,,,,,,,,,
10,2008,FW08KS033,37.97450198,-101.7879598,7,11030001,Year2008,7th,3.25,0.68561,1563,169.1581,65408.30078,1805.41,14.724,1.177,2.673,7.665,0.823,12.432,72.437,,8.138,93.9,248.4,0.004,0,15.129,1081.96,149,93.73,8.31,72.93,191.6,3923.97,3.00E-04,2443.54,,,,,,,,,
11,2008,OWW04440-0650,39.3588435,-75.67549416,3,2040205,Year2008,2nd,6.99,0.24369,1573,149.0788,9.556539536,NA,NA,NA,NA,NA,NA,NA,NA,,3.403,5.083,10.01,0.467,0.01988,13.839,4,24,30.8,7.36,17.17,9.866,877.85,0.007,163.05,,,,,,,,,
12,2008,FW08DE013,39.7302915,-75.59800358,3,2040205,Year2008,3rd,3.3,0.21618,1258,102.535,15.00949955,50.44,23.81,2.243,68.382,2.489,9.081,1003.897,2.729,,3.019,11.44,23.1,0.01,0,10.964,11.02,9.2,20.04,7.68,71.14,23.04,897.82,7.00E-04,359.91,,,,,,,,,
13,2008,WNVP99-0503,40.31657757,-116.901529,9,16040107,Year2008,1st,2.39,0.01755,335,370.0925,5.284049988,2344.85,28.817,0,0,0,0,0,71.183,,3.146,4.87,17.34,0.006,0,25.344,20.95,25.4,25.4,8.34,6.05,16.06,1484.54,0.0068,214.8,,,,,,,,,
14,2008,FW08NV069,41.88666095,-114.6866143,9,17040213,Year2008,6th,2.08,0,256,41.2581,2341.870117,1986.53,3.931,0.545,0.236,1.105,0.302,0.025,94.164,,8.13,5.129,16,0.005,0,53.061,12.22,4.6,3.89,8.44,6.29,26.13,2093.62,7.00E-04,258.87,,,,,,,,,
15,2008,WNVP99-0503,40.31657757,-116.901529,9,16040107,Year2008,1st,3.21,0.0236,486,409.5144,5.284049988,NA,NA,NA,NA,NA,NA,NA,NA,,5.659,7.801,22.22,0.033,0,31.249,37.08,6.3,3.98,8.23,9.13,25.41,1900.49,0.0108,303.72,,,,,,,,,
16,2008,WNVP99-0617,40.90311286,-115.224256,9,16040101,Year2008,2nd,1.15,0,91,13.2125,1.981930017,2403.22,63.62,0,0,0,0,0,36.381,,1.028,5.166,3.118,0.011,0,15.926,3.3,4.2,1.49,8.58,0.74,51.68,3190.82,3.00E-04,300.1,,,,,,,,,
17,2008,WNVP99-0617,40.90311286,-115.224256,9,16040101,Year2008,2nd,0.72,0.03235,118,15.7469,1.981930017,NA,NA,NA,NA,NA,NA,NA,NA,,1.144,5.817,3.718,0.002,0.00047,15.897,4.9,0,6.2,8.43,0.91,57.76,3471.92,3.00E-04,337.4,,,,,,,,,
18,2008,WNVP99-0576,39.21792949,-117.0595203,9,16060004,Year2008,2nd,0.5,0.13709,168,18.155,82.59929657,2554.91,51.293,0.569,0.156,0,0.577,0.839,47.781,,1.25,20.74,4.772,0.001,0,12.195,39.74,4.1,0.445,8.62,1.98,51.94,3980.48,3.00E-04,434.3,,,,,,,,,
19,2008,WNVP99-0663,41.41766741,-116.0342696,9,17050105,Year2008,2nd,1.52,0.0325,242,31.205,22.83609962,2329.94,2.782,0,0,0,0.007,1.556,97.219,,0.769,33.68,2.482,0.01,0,8.369,157.64,4.1,3.12,7.91,0.6,23.59,660.34,0.0144,417.7,,,,,,,,,
