nutrient,accuracy,trainingRegime,repeat,model type
doc,0.1475046407820258,catchmentChars,0,RFR
no3,0.4588802546664138,catchmentChars,0,RFR
tn,0.524509905628462,catchmentChars,0,RFR
tp,0.3111971718050078,catchmentChars,0,RFR
random,0.013320258567297,catchmentChars,0,RFR
doc,0.1626615819976543,catchmentChars,1,RFR
no3,0.4473207692268881,catchmentChars,1,RFR
tn,0.536986591628215,catchmentChars,1,RFR
tp,0.3324034384223534,catchmentChars,1,RFR
random,-0.0082515138554641,catchmentChars,1,RFR
doc,0.112001219847564,catchmentChars,2,RFR
no3,0.4448746767686377,catchmentChars,2,RFR
tn,0.5217088056071009,catchmentChars,2,RFR
tp,0.3537657285728361,catchmentChars,2,RFR
random,0.0247177808073476,catchmentChars,2,RFR
doc,0.1345763341457829,catchmentChars,3,RFR
no3,0.4471188332902041,catchmentChars,3,RFR
tn,0.5384401796617319,catchmentChars,3,RFR
tp,0.3375668488325711,catchmentChars,3,RFR
random,0.0001236154435275,catchmentChars,3,RFR
doc,0.172834325589009,catchmentChars,4,RFR
no3,0.4463783250618274,catchmentChars,4,RFR
tn,0.534561089466665,catchmentChars,4,RFR
tp,0.3460494917267692,catchmentChars,4,RFR
random,0.0141937131985513,catchmentChars,4,RFR
doc,0.140076296264802,catchmentChars,5,RFR
no3,0.4452853795329738,catchmentChars,5,RFR
tn,0.5329617759126611,catchmentChars,5,RFR
tp,0.3340123854473927,catchmentChars,5,RFR
random,-0.0448171441725557,catchmentChars,5,RFR
doc,0.1451876144234245,catchmentChars,6,RFR
no3,0.4683742526118457,catchmentChars,6,RFR
tn,0.5242997533380201,catchmentChars,6,RFR
tp,0.3503659378926099,catchmentChars,6,RFR
random,-0.0181738769386099,catchmentChars,6,RFR
doc,0.1107827086406391,catchmentChars,7,RFR
no3,0.4493041743780716,catchmentChars,7,RFR
tn,0.5368960213385582,catchmentChars,7,RFR
tp,0.3331102455159328,catchmentChars,7,RFR
random,-0.0057858326799107,catchmentChars,7,RFR
doc,0.1462156086459265,catchmentChars,8,RFR
no3,0.4305625569468615,catchmentChars,8,RFR
tn,0.5023935411016784,catchmentChars,8,RFR
tp,0.3425592338219282,catchmentChars,8,RFR
random,0.0183589326184493,catchmentChars,8,RFR
doc,0.1327226511881889,catchmentChars,9,RFR
no3,0.4501478487867448,catchmentChars,9,RFR
tn,0.5267273065415068,catchmentChars,9,RFR
tp,0.3558811340493216,catchmentChars,9,RFR
random,-0.0183836048328762,catchmentChars,9,RFR
doc,0.1464267418045879,catchmentChars,10,RFR
no3,0.441387265381138,catchmentChars,10,RFR
tn,0.5097955754392924,catchmentChars,10,RFR
tp,0.3309274943028342,catchmentChars,10,RFR
random,0.0119655814763535,catchmentChars,10,RFR
doc,0.0966729410091978,catchmentChars,11,RFR
no3,0.4454272414461208,catchmentChars,11,RFR
tn,0.549871354555277,catchmentChars,11,RFR
tp,0.3229114650556092,catchmentChars,11,RFR
random,0.0170915119014534,catchmentChars,11,RFR
doc,0.1237562693850065,catchmentChars,12,RFR
no3,0.436713341314484,catchmentChars,12,RFR
tn,0.5364158717158318,catchmentChars,12,RFR
tp,0.3271691156074994,catchmentChars,12,RFR
random,0.0288850091748054,catchmentChars,12,RFR
doc,0.1636632322586392,catchmentChars,13,RFR
no3,0.46582457522288,catchmentChars,13,RFR
tn,0.5262362760392318,catchmentChars,13,RFR
tp,0.3632039756782981,catchmentChars,13,RFR
random,-0.0008657483932226,catchmentChars,13,RFR
doc,0.1575446762101388,catchmentChars,14,RFR
no3,0.4729410764063216,catchmentChars,14,RFR
tn,0.5138959457159795,catchmentChars,14,RFR
tp,0.3248950240118944,catchmentChars,14,RFR
random,-0.0147544560481367,catchmentChars,14,RFR
